objs,dihedral_angle_mean
./subject_000_cn_sigma_20/subject_000_cn_sigma_20.obj,0.088348667
./subject_000_cn_sigma_40/subject_000_cn_sigma_40.obj,0.088348667
./subject_000_cn_sigma_60/subject_000_cn_sigma_60.obj,0.088348667
./subject_000_cn_sigma_80/subject_000_cn_sigma_80.obj,0.088348667
./subject_000_gn_sigma_0.05/subject_000_gn_sigma_0.05.obj,0.179008398
./subject_000_gn_sigma_0.1/subject_000_gn_sigma_0.1.obj,0.333952996
./subject_000_gn_sigma_0.15/subject_000_gn_sigma_0.15.obj,0.513881777
./subject_000_gn_sigma_0.2/subject_000_gn_sigma_0.2.obj,0.69545088
./subject_000_jpeg_q_10/subject_000_jpeg_q_10.obj,0.088348667
./subject_000_jpeg_q_15/subject_000_jpeg_q_15.obj,0.088348667
./subject_000_jpeg_q_20/subject_000_jpeg_q_20.obj,0.088348667
./subject_000_jpeg_q_3/subject_000_jpeg_q_3.obj,0.088348667
./subject_000_qp_level_6/subject_000_qp_level_6.obj,1.553788898
./subject_000_qp_level_7/subject_000_qp_level_7.obj,1.496357476
./subject_000_qp_level_8/subject_000_qp_level_8.obj,1.092867831
./subject_000_qp_level_9/subject_000_qp_level_9.obj,0.437319387
./subject_000_qt_level_10/subject_000_qt_level_10.obj,0.137424909
./subject_000_qt_level_7/subject_000_qt_level_7.obj,0.137424909
./subject_000_qt_level_8/subject_000_qt_level_8.obj,0.137424909
./subject_000_qt_level_9/subject_000_qt_level_9.obj,0.137424909
./subject_000_simp_rate_0.05/subject_000_simp_rate_0.05.obj,0.179611953
./subject_000_simp_rate_0.1/subject_000_simp_rate_0.1.obj,0.15454272
./subject_000_simp_rate_0.2/subject_000_simp_rate_0.2.obj,0.131649727
./subject_000_simp_rate_0.4/subject_000_simp_rate_0.4.obj,0.115197449
./subject_000_sub_rate_16/subject_000_sub_rate_16.obj,0.088348667
./subject_000_sub_rate_2/subject_000_sub_rate_2.obj,0.088348667
./subject_000_sub_rate_4/subject_000_sub_rate_4.obj,0.088348667
./subject_000_sub_rate_8/subject_000_sub_rate_8.obj,0.088348667
./subject_002_cn_sigma_20/subject_002_cn_sigma_20.obj,0.097526801
./subject_002_cn_sigma_40/subject_002_cn_sigma_40.obj,0.097526801
./subject_002_cn_sigma_60/subject_002_cn_sigma_60.obj,0.097526801
./subject_002_cn_sigma_80/subject_002_cn_sigma_80.obj,0.097526801
./subject_002_gn_sigma_0.05/subject_002_gn_sigma_0.05.obj,0.182234371
./subject_002_gn_sigma_0.1/subject_002_gn_sigma_0.1.obj,0.329636037
./subject_002_gn_sigma_0.15/subject_002_gn_sigma_0.15.obj,0.502796693
./subject_002_gn_sigma_0.2/subject_002_gn_sigma_0.2.obj,0.678487391
./subject_002_jpeg_q_10/subject_002_jpeg_q_10.obj,0.097526801
./subject_002_jpeg_q_15/subject_002_jpeg_q_15.obj,0.097526801
./subject_002_jpeg_q_20/subject_002_jpeg_q_20.obj,0.097526801
./subject_002_jpeg_q_3/subject_002_jpeg_q_3.obj,0.097526801
./subject_002_qp_level_6/subject_002_qp_level_6.obj,1.553488205
./subject_002_qp_level_7/subject_002_qp_level_7.obj,1.493168875
./subject_002_qp_level_8/subject_002_qp_level_8.obj,1.095763534
./subject_002_qp_level_9/subject_002_qp_level_9.obj,0.477915737
./subject_002_qt_level_10/subject_002_qt_level_10.obj,0.145732747
./subject_002_qt_level_7/subject_002_qt_level_7.obj,0.145732747
./subject_002_qt_level_8/subject_002_qt_level_8.obj,0.145732747
./subject_002_qt_level_9/subject_002_qt_level_9.obj,0.145732747
./subject_002_simp_rate_0.05/subject_002_simp_rate_0.05.obj,0.138909435
./subject_002_simp_rate_0.1/subject_002_simp_rate_0.1.obj,0.139444173
./subject_002_simp_rate_0.2/subject_002_simp_rate_0.2.obj,0.130843221
./subject_002_simp_rate_0.4/subject_002_simp_rate_0.4.obj,0.122960131
./subject_002_sub_rate_16/subject_002_sub_rate_16.obj,0.097526801
./subject_002_sub_rate_2/subject_002_sub_rate_2.obj,0.097526801
./subject_002_sub_rate_4/subject_002_sub_rate_4.obj,0.097526801
./subject_002_sub_rate_8/subject_002_sub_rate_8.obj,0.097526801
./subject_006_cn_sigma_20/subject_006_cn_sigma_20.obj,0.120343708
./subject_006_cn_sigma_40/subject_006_cn_sigma_40.obj,0.120343708
./subject_006_cn_sigma_60/subject_006_cn_sigma_60.obj,0.120343708
./subject_006_cn_sigma_80/subject_006_cn_sigma_80.obj,0.120343708
./subject_006_gn_sigma_0.05/subject_006_gn_sigma_0.05.obj,0.207414828
./subject_006_gn_sigma_0.1/subject_006_gn_sigma_0.1.obj,0.370010021
